Date,Open,High,Low,Close,Adj Close,Volume
15/10/2017,65.580002,66.410004,62.279999,64.760002,64.760002,57750104
16/10/2017,64.760002,64.970001,58.5,59.189999,59.189999,62123185
17/10/2017,59.189999,61.889999,53.049999,60.549999,60.549999,98042683
18/10/2017,60.549999,61.389999,58.349998,59.68,59.68,59145290
19/10/2017,59.68,62.169998,58.310001,60.09,60.09,55677469
20/10/2017,60.080002,60.360001,56.169998,58.09,58.09,47776832
21/10/2017,58.09,58.669998,55.73,56.509998,56.509998,30628993
22/10/2017,56.52,56.57,51.919998,54.630001,54.630001,63386543
23/10/2017,54.630001,58.98,52.349998,55.560001,55.560001,69816687
24/10/2017,55.560001,56.400002,53.52,56.189999,56.189999,36591936
25/10/2017,56.189999,56.950001,54.900002,55.549999,55.549999,25040264
26/10/2017,55.549999,55.990002,54.689999,55.02,55.02,19515585
27/10/2017,55.02,55.790001,53.950001,54.220001,54.220001,16837184
28/10/2017,54.220001,57.830002,53.860001,56.75,56.75,41624090
30/10/2017,56.75,58.66,55.810001,56.220001,56.220001,32778628
31/10/2017,56.220001,56.740002,55.490002,55.5,55.5,24119437
1/11/2017,55.5,55.619999,52.720001,52.830002,52.830002,34633306
2/11/2017,52.82,54.900002,50.029999,54.189999,54.189999,68822709
3/11/2017,54.189999,56.130001,53.790001,55.98,55.98,44375580
4/11/2017,55.98,56.119999,54.619999,54.830002,54.830002,23813377
5/11/2017,54.84,55.450001,54.43,54.599998,54.599998,22789832
6/11/2017,54.599998,55.790001,53.43,54.5,54.5,35930222
7/11/2017,54.5,63.490002,54.470001,60.52,60.52,117999766
8/11/2017,60.52,64.07,59.59,62.380001,62.380001,119045612
9/11/2017,62.380001,66.900002,61.59,64.150002,64.150002,96467373
10/11/2017,64.150002,65.75,56.02,58.990002,58.990002,112277387
11/11/2017,59.07,63.77,58.639999,62.139999,62.139999,71691165
12/11/2017,62.139999,62.259998,56.73,58.540001,58.540001,90545722
13/11/2017,58.529999,61.84,58.07,61,61,63578216
14/11/2017,61,63.41,60.119999,62.130001,62.130001,57740143
15/11/2017,62.130001,76.099998,62.080002,63.16,63.16,62683272
16/11/2017,63.150002,72.5,62.5,70.699997,70.699997,108893924
17/11/2017,70.699997,71.290001,65.330002,67.360001,67.360001,117701637
18/11/2017,67.360001,69.769997,65.410004,69.419998,69.419998,54642292
19/11/2017,69.419998,73.239998,68.470001,71.760002,71.760002,77870138
20/11/2017,71.760002,73.160004,70.900002,72.379997,72.379997,70492845
21/11/2017,72.379997,72.849998,68.089996,69.910004,69.910004,90392116
22/11/2017,69.910004,72.040001,69.879997,72.029999,72.029999,48021169
23/11/2017,72.029999,76.769997,70.739998,72.940002,72.940002,107737051
24/11/2017,72.970001,77.610001,72.339996,77.540001,77.540001,82185081
25/11/2017,77.529999,89.470001,77.07,88.790001,88.790001,158025655
26/11/2017,88.769997,88.769997,83.730003,86.239998,86.239998,79938117
27/11/2017,86.199997,93.110001,86.120003,90.989998,90.989998,142772956
28/11/2017,90.989998,94.529999,89.529999,94.220001,94.220001,111647453
29/11/2017,94.220001,103.029999,78.120003,85.410004,85.410004,283266729
30/11/2017,85.400002,92.230003,76.949997,85.940002,85.940002,159892481
1/12/2017,85.940002,100.220001,81.110001,99.150002,99.150002,201759858
2/12/2017,99.150002,103.410004,97.519997,99.32,99.32,142658345
3/12/2017,99.32,106.769997,96.870003,100.699997,100.699997,138622765
4/12/2017,100.709999,103.949997,95.389999,103.870003,103.870003,107176440
5/12/2017,103.860001,103.910004,100.370003,100.489998,100.489998,92720782
6/12/2017,100.489998,103,95.110001,98.970001,98.970001,146319763
7/12/2017,98.940002,99.809998,86.93,96,96,165747903
8/12/2017,95.989998,136.399994,93.370003,125.239998,125.239998,473760093
9/12/2017,125.339996,179.539993,125.339996,155.979996,155.979996,853646807
10/12/2017,155.979996,156.720001,130.389999,147.839996,147.839996,361899241
