Date,Open,High,Low,Close,Adj Close,Volume
23/05/2018,7505.77002,7729.47998,7283.77002,7584.740234,7584.740234,826278113
22/05/2018,7992.75,8031.629883,7460.660156,7505.77002,7505.77002,934151146
21/05/2018,8419.669922,8428.599609,7962.430176,7992.75,7992.75,543342369
20/05/2018,8533.219727,8585.849609,8347.879883,8419.650391,8419.650391,463653636
19/05/2018,8249.240234,8591.450195,8181.459961,8533,8533,418898289
18/05/2018,8247.910156,8397.269531,8160.799805,8249.240234,8249.240234,381458405
17/05/2018,8071.040039,8280.450195,7940.350098,8247.910156,8247.910156,558167598
16/05/2018,8342.69043,8476.450195,8015.77002,8071.040039,8071.040039,615539512
15/05/2018,8480.160156,8501.650391,8119.169922,8344.780273,8344.780273,789660713
14/05/2018,8672.879883,8848.69043,8441.25,8480.160156,8480.160156,730739738
13/05/2018,8709.459961,8883,8312.719727,8672.900391,8672.900391,874543293
12/05/2018,8488.070313,8773.959961,8350.910156,8709.459961,8709.459961,525395861
11/05/2018,8420.820313,8653.799805,8225.969727,8486.669922,8486.669922,783972252
10/05/2018,9032.219727,9032.269531,8363.5,8421,8421,1176888629
9/05/2018,9321.519531,9393.950195,9017.129883,9032.219727,9032.219727,629850604
8/05/2018,9196.129883,9373.459961,8987.269531,9321.160156,9321.160156,625495066
7/05/2018,9377.080078,9472.089844,9063.070313,9196.129883,9196.129883,673924125
6/05/2018,9643.990234,9662.230469,9202.129883,9377.80957,9377.80957,692580062
5/05/2018,9846.44043,9936.959961,9441.929688,9644.919922,9644.919922,608650204
4/05/2018,9700.370117,9968.849609,9687.089844,9845.900391,9845.900391,679872376
3/05/2018,9746.259766,9785.150391,9547.209961,9699.610352,9699.610352,663887678
2/05/2018,9232.19043,9817.19043,9172.280273,9745.040039,9745.040039,857646889
1/05/2018,9077.280273,9271.620117,8993.820313,9232.19043,9232.19043,527488395
30/04/2018,9248.25,9251.660156,8851.099609,9077.280273,9077.280273,669555436
29/04/2018,9407.349609,9459.80957,9133.599609,9248.450195,9248.450195,574099218
28/04/2018,9349.94043,9552.669922,9189.070313,9407.040039,9407.040039,640931911
27/04/2018,8938.469727,9435.900391,8892.519531,9351.469727,9351.469727,774111704
26/04/2018,9289.009766,9385.870117,8923.480469,8938.469727,8938.469727,758182407
25/04/2018,8873.570313,9315.129883,8669.379883,9282.120117,9282.120117,997427934
24/04/2018,9657.69043,9765.230469,8757.05957,8873.620117,8873.620117,1779806222
23/04/2018,8967.860352,9741.910156,8957.679688,9655.769531,9655.769531,1276464750
22/04/2018,8823.459961,9025.730469,8804.200195,8968.25,8968.25,553892335
21/04/2018,8935.849609,9043.980469,8788.44043,8823.360352,8823.360352,610183093
