Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,15.340000,15.710000,15.160000,15.210000,15.210000,3824680
2017-08-10,15.210000,15.530000,14.870000,15.160000,15.160000,3473091
2017-08-11,15.160000,15.310000,14.440000,14.650000,14.650000,3724493
2017-08-12,14.650000,14.660000,13.780000,14.120000,14.120000,4953969
2017-08-13,14.120000,14.520000,13.770000,13.980000,13.980000,4449396
2017-08-14,13.980000,14.070000,13.070000,13.420000,13.420000,4400095
2017-08-15,13.420000,14.380000,13.170000,14.080000,14.080000,4106908
2017-08-16,14.080000,14.250000,13.570000,13.830000,13.830000,2867075
2017-08-17,13.830000,14.370000,12.510000,13.440000,13.440000,5486362
2017-08-18,13.440000,13.960000,13.040000,13.510000,13.510000,3904510
2017-08-19,13.510000,14.180000,13.270000,13.760000,13.760000,3674480
2017-08-20,13.760000,15.120000,13.720000,14.660000,14.660000,8827979
2017-08-21,14.660000,15.110000,13.370000,14.410000,14.410000,6817375
2017-08-22,14.410000,16.650000,14.190000,15.280000,15.280000,22396980
2017-08-23,15.280000,15.990000,15.040000,15.130000,15.130000,6261856
2017-08-24,15.130000,15.580000,14.990000,15.150000,15.150000,4091022
2017-08-25,15.150000,15.330000,14.870000,15.280000,15.280000,3124273
2017-08-26,15.280000,16.350000,15.150000,16.010000,16.010000,9021127
2017-08-27,16.010000,16.410000,15.520000,15.740000,15.740000,6106654
2017-08-28,15.740000,16.100000,15.560000,15.930000,15.930000,4719233
2017-08-29,15.930000,16.059999,15.730000,15.960000,15.960000,4199976
2017-08-30,15.960000,16.910000,15.890000,16.780001,16.780001,8731521
2017-08-31,16.780001,22.889999,16.309999,22.420000,22.420000,56212501
2017-09-01,22.420000,24.240000,18.250000,19.879999,19.879999,51547117
2017-09-02,19.879999,20.790001,18.320000,19.180000,19.180000,17593649
2017-09-03,19.180000,19.219999,15.870000,16.440001,16.440001,24991686
2017-09-04,16.440001,17.440001,15.390000,17.080000,17.080000,16842946
2017-09-05,17.080000,19.389999,17.049999,19.260000,19.260000,18851247
2017-09-06,19.260000,19.320000,17.980000,18.510000,18.510000,13200858
2017-09-07,18.510000,18.719999,15.910000,16.750000,16.750000,17769273
2017-09-08,16.750000,16.750000,15.390000,16.320000,16.320000,8168109
2017-09-09,16.320000,16.330000,14.270000,15.230000,15.230000,10632512
2017-09-10,15.230000,16.010000,14.830000,15.220000,15.220000,7296555
2017-09-11,15.220000,16.190001,14.830000,15.010000,15.010000,8783598
2017-09-12,15.010000,15.040000,13.510000,14.110000,14.110000,10601154
2017-09-13,14.110000,14.480000,10.180000,10.180000,10.180000,20824177
2017-09-14,10.180000,12.260000,8.470000,11.400000,11.400000,37203674
2017-09-15,11.400000,12.290000,10.780000,11.190000,11.190000,8913403
2017-09-16,11.190000,11.400000,10.260000,11.030000,11.030000,4081890
2017-09-17,11.030000,12.200000,11.030000,12.060000,12.060000,13319040
2017-09-18,12.060000,12.250000,11.280000,11.540000,11.540000,7005808
2017-09-19,11.540000,11.750000,11.150000,11.270000,11.270000,5570397
2017-09-20,11.270000,11.290000,10.010000,10.040000,10.040000,7940569
2017-09-21,10.040000,10.610000,9.800000,10.150000,10.150000,5044623
2017-09-22,10.150000,10.860000,10.030000,10.580000,10.580000,5254536
2017-09-23,10.580000,10.720000,10.260000,10.410000,10.410000,3526206
2017-09-24,10.410000,11.140000,10.390000,11.000000,11.000000,4905183
2017-09-25,11.000000,12.190000,10.800000,11.490000,11.490000,9239914
2017-09-26,11.490000,13.300000,11.430000,12.960000,12.960000,15312432
2017-09-27,12.960000,13.950000,12.660000,13.240000,13.240000,15652388
2017-09-28,13.240000,13.740000,12.130000,12.700000,12.700000,12572655
2017-09-29,12.700000,13.510000,12.660000,13.230000,13.230000,5770515
2017-09-30,13.230000,13.240000,12.620000,12.920000,12.920000,4144942
2017-10-01,12.920000,12.980000,12.400000,12.430000,12.430000,3749040
2017-10-02,12.430000,12.540000,11.780000,12.290000,12.290000,3857743
2017-10-03,12.290000,12.390000,11.780000,11.790000,11.790000,2937520
2017-10-04,11.790000,12.080000,11.510000,11.910000,11.910000,2934177
2017-10-05,11.910000,12.410000,11.900000,12.330000,12.330000,2276439
2017-10-06,12.330000,12.550000,12.040000,12.370000,12.370000,2550343
2017-10-07,12.370000,12.580000,12.110000,12.110000,12.110000,2643844
2017-10-08,12.110000,12.170000,10.940000,11.430000,11.430000,4179803
2017-10-09,11.430000,11.690000,11.260000,11.410000,11.410000,3060685
2017-10-10,11.410000,11.530000,11.270000,11.450000,11.450000,2152841
2017-10-11,11.450000,11.970000,11.350000,11.730000,11.730000,5279414
2017-10-12,11.730000,12.390000,11.310000,12.050000,12.050000,7999966
2017-10-13,12.050000,12.500000,11.870000,12.190000,12.190000,3372010
2017-10-14,12.190000,12.480000,11.540000,11.960000,11.960000,3569490
2017-10-15,11.960000,12.190000,11.810000,11.930000,11.930000,3058393
2017-10-16,11.930000,12.490000,11.600000,11.860000,11.860000,5158580
2017-10-17,11.850000,11.850000,10.660000,11.450000,11.450000,4563799
2017-10-18,11.450000,11.510000,11.120000,11.290000,11.290000,2263073
2017-10-19,11.290000,11.460000,11.100000,11.120000,11.120000,2710440
2017-10-20,11.090000,11.260000,10.640000,10.840000,10.840000,2120728
2017-10-21,10.840000,11.180000,10.500000,10.670000,10.670000,2136271
